Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Central Europe and the Baltics,CEB,854.948375457473,906.522833187846,850.666193114196,919.770720931887,931.028055040883,816.278432085462,851.236089503038,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Chad,TCD,36.48620983,38.72567404,34.92486746,47.42296057,46.88535547,35.52137759,31.68594246,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Chile,CHL,871.26343987,995.83846102,1083.46167799,1186.80259009,1154.8481985,1140.13468633,1190.54854502,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,China,CHN,187.73346188,237.93364476,283.52219127,328.1848914,361.72443989,392.8460075,398.33155573,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Colombia,COL,391.03635982,418.93272356,448.23161283,466.62019585,459.47532472,364.04180302,340.36546879,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Comoros,COM,67.15080266,78.6099151,65.41310821,69.01913097,68.58201175,58.241607,59.00043787,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Congo, Dem. Rep.",COD,12.8576483,12.64191034,14.25106852,16.33662202,19.38299666,20.111545,20.5175231,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Congo, Rep.",COG,55.44844074,60.71307946,72.92818325,73.43602694,72.462584,58.44861964,70.37796786,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Costa Rica,CRI,665.25142103,742.95014878,773.98844708,811.51856226,829.56108868,885.89652033,888.85370049,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cote d'Ivoire,CIV,74.97267639,73.44966459,75.29444006,72.23057388,79.05314337,75.45261707,67.57069603,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Croatia,HRV,1126.37359951,1132.49886742,1029.97118263,930.72015536,957.66124131,838.44407824,884.49111374,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cuba,CUB,606.64462173,692.55531565,597.52413707,705.13099346,855.98927662,972.73010295,970.64616387,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cyprus,CYP,1958.80212713,2153.40231376,1942.21770766,1920.27097696,1847.5536228,1581.63871063,1634.43092199,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Czech Republic,CZE,1373.93174869,1516.5554912,1387.40604424,1554.50899523,1512.92618596,1284.04679839,1321.62020252,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Denmark,DNK,6011.53783782,6281.00429053,6003.83087379,6236.55388395,6380.7844076,5469.33479157,5565.59342469,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Djibouti,DJI,55.47851004,67.80436579,71.15094622,66.52605361,72.04343175,81.72909389,70.19033417,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Dominica,DMA,387.09052144,399.12901937,396.08239892,381.69152307,398.36649512,399.04683695,419.36591407,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Dominican Republic,DOM,299.65610197,326.62193648,351.53693644,351.30358161,371.23440031,390.94748031,414.17657995,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Early-demographic dividend,EAR,143.39316859932,156.825138815923,162.619659894013,168.54149909858,172.57909861042,175.835460946297,157.547650650788,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,East Asia & Pacific,EAS,479.271075486807,587.812900416305,627.471838713607,605.388424020807,615.35486814654,601.866982693571,638.573905648442,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,East Asia & Pacific (excluding high income),EAP,160.44320159571,199.548768525898,233.193181386726,264.980743681215,289.200492049536,308.263372748171,313.644245499255,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,East Asia & Pacific (IDA & IBRD countries),TEA,160.451315904533,199.556155827034,233.201687722222,264.989859519115,289.210307639762,308.273580323957,313.656137324467,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Ecuador,ECU,331.68930027,410.8297528,483.52284847,519.9339759,551.46928068,528.20146197,504.78248204,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Egypt, Arab Rep.",EGY,111.43534955,123.25961288,143.38037538,140.33245158,153.78876387,156.6371314,130.9858695,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,El Salvador,SLV,240.24166267,257.72862919,257.18320735,271.54430641,276.22300268,283.28411442,293.87255671,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Equatorial Guinea,GNQ,262.51662052,289.34512539,311.41837517,349.35044362,337.56289513,280.2240177,281.37453092,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Eritrea,ERI,16.61465149,24.51723677,19.87064909,22.03240118,24.48536291,27.18065285,29.8912246,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Estonia,EST,926.45024229,1014.62986541,1013.32310234,1144.29039142,1237.27233339,1112.4659564,1185.33334806,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Eswatini,SWZ,312.72666699,330.29529367,283.98641467,263.88518106,251.91962728,231.41623122,220.58673255,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Ethiopia,ETH,16.69390514,15.12680273,20.72801009,19.98802132,22.43831346,25.11154955,27.52365701,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Euro area,EMU,3834.41512294245,4102.97475209135,3840.85675390601,4023.25568234866,4106.8746904721,3520.62805851514,3588.12025136626,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Europe & Central Asia,ECS,2143.82849641596,2325.09788766474,2230.13643755834,2380.92704044786,2425.09737812677,2099.42314619519,2092.60917875574,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Europe & Central Asia (excluding high income),ECA,417.159970856654,468.003559652882,502.861490058912,540.478275406669,502.499165865797,383.216058668065,371.159406634548,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Europe & Central Asia (IDA & IBRD countries),TEC,458.09787636998,508.818554868924,534.758214976085,573.024513113275,540.186907367014,422.322614480733,412.527432643055,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,European Union,EUU,3261.18464854513,3511.93321396895,3323.76617146565,3559.17007913051,3668.40188253447,3206.05449144971,3211.39860368401,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Fiji,FJI,135.16206564,148.20687578,160.82942974,165.12781996,184.70824972,174.49626722,179.91156997,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Finland,FIN,4095.69942064,4544.37904826,4406.24873067,4713.69970482,4733.46562541,4131.51081075,4117.25778244,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Fragile and conflict affected situations,FCS,66.00720551439,68.8212436304439,65.9218825226841,71.1037258923948,77.8072301625033,75.5773976016986,73.4421160598533,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,France,FRA,4576.26388652,4931.71741059,4650.34025283,4898.59813518,5010.09509439,4211.68220596,4263.36156106,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Gabon,GAB,216.71412151,274.08999726,236.63051177,274.98907252,245.48532796,197.94471527,220.3547089,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Gambia, The",GMB,32.28450882,32.1282834,30.98698036,29.88498261,23.02137821,21.85383258,20.93043715,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Georgia,GEO,262.52672103,290.41241395,323.00977842,334.91993385,348.82968757,280.91286581,308.03165121,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Germany,DEU,4596.64577527,5019.08365252,4750.4169573,5086.58406845,5278.22187754,4605.88077166,4714.2608733,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Ghana,GHA,80.46975657,99.25345172,89.84914679,111.03605137,81.51717279,82.40741505,67.50885898,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Greece,GRC,2573.82245252,2353.97067447,1968.39727978,1834.22298207,1724.54768452,1475.71155261,1510.66671302,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Grenada,GRD,448.66531542,445.14029203,432.32760824,440.55426269,445.55850438,453.97007792,516.41704659,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Guatemala,GTM,171.71510274,186.80713737,194.175675,203.83070709,218.96596105,216.41988971,241.35228463,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Guinea,GIN,19.50076044,23.30078358,22.9440726,25.13110881,35.60308986,42.25040344,37.45933893,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Guinea-Bissau,GNB,34.64383589,37.36944936,29.30180678,29.52344511,41.43014495,38.13546422,39.05417469,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Guyana,GUY,140.57475922,169.02607017,183.04620311,196.4320057,207.21305994,184.45253834,192.27367614,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Haiti,HTI,54.6409318,75.3724753,73.34101189,58.19069094,63.88166505,41.90517442,37.7231276,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Heavily indebted poor countries (HIPC),HPC,43.4006670386578,46.3271390072988,46.832624638159,51.0309747230945,51.0608922684642,50.9271075024536,49.9846667234769,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,High income,HIC,4603.31784083936,4951.07678581438,4967.27707783872,5039.46093038573,5181.66868573757,5022.65738784688,5179.67453221991,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Honduras,HND,166.7753354,184.71102898,187.74502329,177.18257321,179.15148408,180.6053849,199.55451507,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Hungary,HUN,983.11070446,1063.43207203,961.13840237,990.63091741,1006.15665827,887.80729608,942.59196302,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Iceland,ISL,3675.76218532,3927.68523781,3775.83629665,4095.54979251,4514.53290841,4281.57553767,5063.60583151,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,India,IND,45.25077162,48.72283264,49.05140288,56.21846375,57.15113738,58.96633802,62.71555407,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Indonesia,IDN,92.18704117,107.40815305,107.05638914,107.19520804,108.83727072,100.21524702,111.55321931,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Iran, Islamic Rep.",IRN,440.85250716,524.69162216,519.30358002,413.72775768,382.70589412,375.12602013,415.39119979,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Iraq,IRQ,145.4638422,163.42091724,178.93985094,194.78030223,187.01121021,154.47749842,152.64254835,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Ireland,IRL,5128.45057985,5600.50723434,5294.74943544,5349.06376849,5390.54457556,4626.16268417,4758.59431522,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Israel,ISR,2218.18643062,2420.64395495,2386.75669233,2658.98327581,2800.50177682,2735.31672232,2837.13963899,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Italy,ITA,3214.54628245,3387.57561834,3125.61146776,3195.55328459,3190.08814338,2708.92682657,2738.70612439,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Jamaica,JAM,234.58287121,250.90095456,260.31649634,262.42128772,254.08664356,279.51945554,296.24614827,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Japan,JPN,4060.19008346,5087.10220052,5212.06938004,4336.14994683,4099.46507982,3733.67326049,4233.0332764,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Jordan,JOR,308.65789917,317.57780921,309.44220799,293.4598739,301.53771797,257.41551909,223.53819879,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Kazakhstan,KAZ,246.19106249,311.44285313,379.66935056,371.71008648,347.65597192,320.73759168,262.0090142,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Kenya,KEN,59.16981655,57.38742427,64.83936005,67.83928365,70.80068596,66.01589102,66.20980967,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Kiribati,KIR,139.85356351,148.89393906,153.65222274,161.55892998,161.38660566,117.95736193,188.04908791,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Korea, Rep.",KOR,1378.39365727,1523.45674069,1575.78991385,1711.87490959,1910.43871432,1926.60547914,2043.86063994,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Kuwait,KWT,1061.36561692,1263.8207364,1319.25445408,1251.39153973,1375.00339505,1168.82847829,1068.32321339,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Kyrgyz Republic,KGZ,61.4532889,79.99365745,100.47618416,105.66017498,107.50615052,82.19766459,72.87788481,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Lao PDR,LAO,34.99106906,27.51471885,32.98599447,44.1285816,46.37335713,52.98524397,55.21359284,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Late-demographic dividend,LTE,343.209790382636,409.256875516152,439.79471030818,478.877203514782,501.715615093934,467.517104201641,469.911236716264,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Latin America & Caribbean,LCN,695.449212050364,787.669409172136,788.283734037502,812.31909402589,834.947149300378,764.549992391732,689.974694600166,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Latin America & Caribbean (excluding high income),LAC,687.66652362291,778.832490474068,775.540609282974,795.911120376747,820.020719918041,746.764992603115,665.342982517885,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,696.393259448412,788.794366876495,791.114588004057,813.595030822177,833.862096964514,759.879309882094,683.547506510049,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Latvia,LVA,689.07719163,764.59174143,745.51744573,807.12996903,855.62638991,775.55197511,874.20357724,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Least developed countries: UN classification,LDC,34.7503110771548,37.8482149851655,38.5269603343108,42.5516916118898,45.6653818404405,45.299340216342,43.9555331071706,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Lebanon,LBN,659.3505459,711.58432504,713.55627715,676.8220949,680.03245623,661.48252914,662.12705762,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Lesotho,LSO,93.27350523,120.77442069,112.97706841,110.76417883,108.46174258,97.47032959,85.51857328,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Liberia,LBR,44.57002365,53.61320717,55.21412554,57.77823261,63.81318203,71.94082732,68.31283566,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Libya,LBY,400.86403425,312.57731461,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Lithuania,LTU,805.22196256,925.46656518,896.95798927,958.9370752,1021.22256614,920.19293491,987.94931374,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Low & middle income,LMY,188.091427275712,217.011186546444,230.505283655631,246.575760322214,254.186975647157,243.383289667688,234.018536976963,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Low income,LIC,33.6858846939663,34.3523848285975,35.1909211585374,35.8478329612519,37.8970486592623,35.2554780000937,32.9047849960592,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Lower middle income,LMC,62.2350202392576,68.7494031878679,72.0252251803923,78.6803028733978,79.2446932811275,78.1734100359604,79.4058110524874,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Luxembourg,LUX,7451.57472053,7165.35372097,7096.70351845,7535.91025734,7757.08855522,6353.28445855,6271.43758791,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Madagascar,MDG,21.95881931,22.66598263,17.63762225,19.53075654,22.99713268,22.13168481,24.11914971,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Malawi,MWI,33.22835282,38.38077056,31.75400262,38.54927575,34.41162976,34.00190172,29.58739886,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Malaysia,MYS,292.89069346,352.59342029,382.28925137,388.6967655,421.96938891,376.05735815,361.52197369,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Maldives,MDV,602.6596615,585.92297425,648.14601734,674.59653406,716.18925373,852.14907806,1047.8439321,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Mali,MLI,31.36370581,34.23571815,34.216301,42.195893,38.01019679,30.83265288,29.7866224,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Malta,MLT,1733.07004435,1960.42581109,1984.60028068,2289.64442098,2463.71552684,2249.91004879,2327.78190367,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Marshall Islands,MHL,607.47156891,627.64580716,657.21145776,703.69048927,650.09032478,768.34054799,851.3429126,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Mauritania,MRT,40.0749762,44.00234112,45.67228009,51.85372351,55.47625522,53.61152776,46.77139384,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Mauritius,MUS,367.12081053,396.63023632,398.15907618,452.51403936,559.5051151,529.16140764,553.09652768,..,..,..
